RANGO DE NUMEROS;NUMEROS PRIMOS;DURACION
0 a 1000000;78500;12,44569730758667
1000000 a 2000000;70435;20,428831338882446
2000000 a 3000000;67883;23,52812933921814
3000000 a 4000000;66330;26,497671127319336
4000000 a 5000000;65367;28,944637298583984
5000000 a 6000000;64336;31,23694682121277
6000000 a 7000000;63799;36,47849655151367
7000000 a 8000000;63129;38,84063696861267
8000000 a 9000000;62712;40,7101526260376
9000000 a 10000000;62090;44,09665656089783
10000000 a 11000000;61938;44,72693634033203
11000000 a 12000000;61543;45,986026763916016
12000000 a 13000000;61192;47,608283042907715
13000000 a 14000000;60825;49,441771268844604
14000000 a 15000000;60627;51,14077687263489
15000000 a 16000000;60426;52,40134882926941
16000000 a 17000000;60184;54,67933964729309
17000000 a 18000000;60053;56,145410776138306
18000000 a 19000000;59683;56,611246824264526
19000000 a 20000000;59557;59,380728244781494
20000000 a 21000000;59336;63,60234832763672
21000000 a 22000000;59318;61,61176109313965
22000000 a 23000000;58960;64,9637999534607
23000000 a 24000000;58901;62,65405631065369
24000000 a 25000000;58805;67,70797157287598
25000000 a 26000000;58600;73,43563914299011
26000000 a 27000000;58538;77,40955209732056
27000000 a 28000000;58365;74,7695586681366
28000000 a 29000000;58246;74,64359545707703
29000000 a 30000000;58183;75,39387941360474
30000000 a 31000000;58120;75,67668867111206
31000000 a 32000000;57836;76,7647933959961
32000000 a 33000000;57852;76,69352054595947
33000000 a 34000000;57712;78,69022583961487
34000000 a 35000000;57396;77,73759627342224
35000000 a 36000000;57487;76,06518912315369
36000000 a 37000000;57361;75,22937774658203
37000000 a 38000000;57343;76,86497259140015
38000000 a 39000000;57436;77,69226813316345
39000000 a 40000000;57252;77,83237981796265
40000000 a 41000000;57102;80,28831553459167
41000000 a 42000000;56864;82,54438042640686
42000000 a 43000000;56915;81,72800827026367
43000000 a 44000000;56849;82,73929810523987
44000000 a 45000000;56776;83,69574546813965
45000000 a 46000000;56893;87,48153781890869
46000000 a 47000000;56640;87,60780167579651
47000000 a 48000000;56451;87,13346529006958
48000000 a 49000000;56387;87,09465789794922
49000000 a 50000000;56603;87,67358231544495
50000000 a 51000000;56360;89,31669211387634
51000000 a 52000000;56349;93,74657964706421
52000000 a 53000000;56209;95,11177134513855
53000000 a 54000000;56151;95,13864493370056
54000000 a 55000000;55997;87,56785821914673
55000000 a 56000000;56130;89,60077428817749
56000000 a 57000000;56105;88,1647596359253
57000000 a 58000000;55901;91,19716167449951
58000000 a 59000000;55978;92,80889987945557
59000000 a 60000000;55801;92,0793251991272
60000000 a 61000000;55930;97,31281089782715
61000000 a 62000000;55555;91,38909864425659
62000000 a 63000000;55706;94,32687711715698
63000000 a 64000000;55780;94,47892236709595
64000000 a 65000000;55468;92,94453382492065
65000000 a 66000000;55569;95,89215302467346
66000000 a 67000000;55644;97,22212100028992
67000000 a 68000000;55575;96,60765099525452
68000000 a 69000000;55332;101,0233805179596
69000000 a 70000000;55390;96,30751609802246
70000000 a 71000000;55309;97,92330956459045
71000000 a 72000000;55285;97,2594382762909
72000000 a 73000000;55431;121,62816739082336
73000000 a 74000000;55165;128,5163769721985
74000000 a 75000000;55050;115,71752715110779
75000000 a 76000000;55307;116,91305708885193
76000000 a 77000000;54924;119,09451484680176
77000000 a 78000000;55009;111,59068965911865
78000000 a 79000000;54900;108,45497632026672
79000000 a 80000000;54938;109,05386972427368
80000000 a 81000000;55027;109,61297965049744
81000000 a 82000000;55021;112,77306628227234
82000000 a 83000000;54887;112,91072344779968
83000000 a 84000000;54822;113,68515539169312
84000000 a 85000000;54592;120,84244680404663
85000000 a 86000000;54739;118,79040551185608
86000000 a 87000000;54710;117,78315591812134
87000000 a 88000000;54652;119,71803402900696
88000000 a 89000000;54733;134,09756183624268
89000000 a 90000000;54389;134,2710349559784
90000000 a 91000000;54705;135,3827919960022
91000000 a 92000000;54578;132,8458662033081
92000000 a 93000000;54444;134,42017221450806
93000000 a 94000000;54423;124,26389002799988
94000000 a 95000000;54645;120,4160966873169
95000000 a 96000000;54452;121,49569892883301
96000000 a 97000000;54364;123,76813840866089
97000000 a 98000000;54431;130,9509620666504
98000000 a 99000000;54127;120,44501543045044
99000000 a 100000000;54332;124,97739052772522
100000000 a 101000000;54208;126,67784690856934
101000000 a 102000000;54316;127,68414855003357
102000000 a 103000000;54304;127,82227730751038
103000000 a 104000000;54206;129,2504961490631
104000000 a 105000000;54207;128,10055708885193
105000000 a 106000000;54071;127,0972363948822
106000000 a 107000000;54061;128,94630241394043
107000000 a 108000000;54135;125,71492862701416
108000000 a 109000000;54215;128,52541828155518
109000000 a 110000000;54131;131,30697512626648
110000000 a 111000000;53932;125,92536401748657
111000000 a 112000000;53816;128,3234624862671
112000000 a 113000000;54004;131,0696098804474
113000000 a 114000000;53792;131,59070920944214
114000000 a 115000000;53797;130,53603529930115
115000000 a 116000000;53913;130,6138334274292
116000000 a 117000000;53883;132,204585313797
117000000 a 118000000;53772;131,6859655380249
118000000 a 119000000;53678;134,07659602165222
119000000 a 120000000;53752;132,23748636245728
120000000 a 121000000;53619;133,82723593711853
121000000 a 122000000;53769;135,71917963027954
122000000 a 123000000;53636;137,81211733818054
123000000 a 124000000;53808;135,00010466575623
124000000 a 125000000;53662;137,05362343788147
125000000 a 126000000;53672;137,29795908927917
126000000 a 127000000;53613;136,8636257648468
127000000 a 128000000;53608;138,59848761558533
128000000 a 129000000;53698;138,23047542572021
129000000 a 130000000;53454;137,46402096748352
130000000 a 131000000;53518;141,448965549469
131000000 a 132000000;53484;139,41031002998352
132000000 a 133000000;53363;139,42527627944946
133000000 a 134000000;53382;139,8027696609497
134000000 a 135000000;53527;139,6486895084381
135000000 a 136000000;53268;140,92530131340027
136000000 a 137000000;53479;140,77018690109253
137000000 a 138000000;53282;141,80041694641113
138000000 a 139000000;53338;143,5083727836609
139000000 a 140000000;53371;143,0929732322693
140000000 a 141000000;53101;147,2204442024231
141000000 a 142000000;53317;143,35527205467224
142000000 a 143000000;53432;143,51782608032227
143000000 a 144000000;53355;145,7583405971527
144000000 a 145000000;53189;144,072368144989
145000000 a 146000000;53193;143,0266468524933
146000000 a 147000000;53301;148,31402111053467
147000000 a 148000000;53118;147,59841871261597
148000000 a 149000000;53150;153,52209568023682
149000000 a 150000000;53041;146,3258273601532
150000000 a 151000000;52996;148,95579385757446
151000000 a 152000000;53046;146,54523754119873
152000000 a 153000000;52979;150,50465321540833
153000000 a 154000000;53160;147,0833134651184
154000000 a 155000000;52976;147,31117820739746
155000000 a 156000000;53072;157,7378625869751
156000000 a 157000000;53060;155,41604161262512
157000000 a 158000000;52959;157,1225070953369
158000000 a 159000000;52805;155,30483102798462
159000000 a 160000000;53009;154,26259636878967
160000000 a 161000000;53054;154,1419322490692
161000000 a 162000000;52717;149,49834728240967
162000000 a 163000000;52914;150,66474866867065
163000000 a 164000000;53114;152,49383091926575
164000000 a 165000000;52725;153,08825397491455
165000000 a 166000000;52682;152,56913566589355
166000000 a 167000000;52884;153,8572382926941
167000000 a 168000000;52916;152,4848551750183
168000000 a 169000000;52749;154,51550889015198
169000000 a 170000000;52870;154,179847240448
170000000 a 171000000;52738;155,08591222763062
171000000 a 172000000;52856;154,227698802948
172000000 a 173000000;52703;156,12462663650513
173000000 a 174000000;52792;157,99662518501282
174000000 a 175000000;52600;158,27289056777954
175000000 a 176000000;52787;158,50526595115662
176000000 a 177000000;52711;158,66235446929932
177000000 a 178000000;52765;160,1418948173523
178000000 a 179000000;52555;158,56211614608765
179000000 a 180000000;52795;162,9462766647339
180000000 a 181000000;52394;162,79828715324402
181000000 a 182000000;52502;165,17395758628845
182000000 a 183000000;52315;166,28797149658203
183000000 a 184000000;52649;166,72877430915833
184000000 a 185000000;52741;164,20553278923035
185000000 a 186000000;52574;158,63542675971985
186000000 a 187000000;52437;156,936949968338
187000000 a 188000000;52560;163,33988666534424
188000000 a 189000000;52392;165,3274896144867
189000000 a 190000000;52524;162,16947174072266
190000000 a 191000000;52299;161,36462354660034
191000000 a 192000000;52255;160,07957005500793
192000000 a 193000000;52534;162,8591332435608
193000000 a 194000000;52465;163,47098636627197
194000000 a 195000000;52551;163,12938404083252
195000000 a 196000000;52321;163,36379146575928
196000000 a 197000000;52226;164,82237911224365
197000000 a 198000000;52154;163,56125164031982
198000000 a 199000000;52296;163,90338134765625
199000000 a 200000000;52363;163,84897756576538
200000000 a 201000000;52326;149,47671270370483
201000000 a 202000000;52386;145,17453908920288
202000000 a 203000000;52139;149,2561490535736
203000000 a 204000000;52385;188,67654061317444
204000000 a 205000000;52300;183,11708283424377
205000000 a 206000000;52177;176,84928917884827
206000000 a 207000000;52281;190,62342882156372
207000000 a 208000000;52284;181,62498307228088
208000000 a 209000000;52084;160,0104420185089
209000000 a 210000000;52327;154,9431550502777
210000000 a 211000000;52037;160,52756476402283
211000000 a 212000000;52201;170,37572026252747
212000000 a 213000000;52149;154,50000882148743
213000000 a 214000000;52011;171,43497562408447
214000000 a 215000000;52244;167,04461789131165
215000000 a 216000000;52125;156,79509949684143
216000000 a 217000000;52014;161,66726350784302
217000000 a 218000000;52029;163,0664086341858
218000000 a 219000000;52096;166,0050389766693
219000000 a 220000000;52008;168,01316952705383
220000000 a 221000000;51937;176,27346110343933
221000000 a 222000000;52086;175,01728439331055
222000000 a 223000000;52149;166,91185641288757
223000000 a 224000000;52053;163,50143480300903
224000000 a 225000000;52110;166,55644822120667
225000000 a 226000000;51854;162,23157405853271
226000000 a 227000000;52026;184,37360858917236
227000000 a 228000000;51782;159,15882062911987
228000000 a 229000000;52117;156,20214462280273
229000000 a 230000000;51919;154,72508025169373
230000000 a 231000000;52026;151,58308053016663
231000000 a 232000000;51946;149,26361274719238
232000000 a 233000000;51886;151,03780436515808
233000000 a 234000000;51595;152,3393850326538
234000000 a 235000000;51991;155,75328540802002
235000000 a 236000000;51891;179,40367889404297
236000000 a 237000000;51987;195,4755003452301
237000000 a 238000000;52003;153,96953558921814
238000000 a 239000000;51924;157,73051929473877
239000000 a 240000000;51722;155,44016480445862
240000000 a 241000000;52073;151,88008499145508
241000000 a 242000000;51674;170,3543689250946
242000000 a 243000000;51625;179,49700808525085
